Year,Region,Fitted Values,Lower Bound,Upper Bound
2020,Republic of Bashkortostan,145.79694,-1718.3969,2009.991
2021,Republic of Bashkortostan,139.96103,-1724.233,2004.1549
2022,Republic of Bashkortostan,371.03394,-1493.16,2235.2278
2023,Republic of Bashkortostan,357.2083,-1506.9857,2221.402
2024,Republic of Bashkortostan,333.73798,-1530.4559,2197.932
2019,Republic of Buryatia,118.087425,-1746.1063,1982.2815
2020,Republic of Buryatia,101.56472,-1762.6293,1965.7587
2021,Republic of Buryatia,126.74212,-1737.4518,1990.936
2022,Republic of Buryatia,322.38696,-1541.807,2186.5808
2023,Republic of Buryatia,267.3155,-1596.8785,2131.5093
2024,Republic of Buryatia,386.16656,-1478.0275,2250.3604
2019,Republic of Dagestan,109.00741,-1755.1866,1973.2014
2020,Republic of Dagestan,148.83902,-1715.3549,2013.033
2021,Republic of Dagestan,78.4443,-1785.7496,1942.6383
2022,Republic of Dagestan,298.46716,-1565.7267,2162.6611
2023,Republic of Dagestan,163.22626,-1700.9677,2027.4202
2024,Republic of Dagestan,267.07858,-1597.1154,2131.2725
2019,Republic of Ingushetia,31.994316,-1832.1996,1896.1882
2020,Republic of Ingushetia,44.977867,-1819.2162,1909.1718
2021,Republic of Ingushetia,56.61364,-1807.5802,1920.8076
2022,Republic of Ingushetia,105.67251,-1758.5214,1969.8665
2023,Republic of Ingushetia,74.76418,-1789.4298,1938.9581
2024,Republic of Ingushetia,160.60916,-1703.5848,2024.8032
2019,Republic of Kalmykia,78.60961,-1785.5844,1942.8036
2020,Republic of Kalmykia,105.804344,-1758.3895,1969.9983
2021,Republic of Kalmykia,67.47445,-1796.7196,1931.6685
2022,Republic of Kalmykia,45.81997,-1818.3739,1910.0139
2023,Republic of Kalmykia,65.57195,-1798.622,1929.7659
2024,Republic of Kalmykia,136.55972,-1727.6344,2000.7535
2019,Republic of Karelia,66.384514,-1797.8094,1930.5785
2020,Republic of Karelia,52.042015,-1812.152,1916.236
