Region,Year,Jumush,Rabota
Voronezh Oblast,2021,65,14239005
Voronezh Oblast,2022,89,14084756
Voronezh Oblast,2023,41,12226132
Voronezh Oblast,2024,28,10551443
Yamalo-Nenets Autonomous Okrug,2017,1,165937
Yamalo-Nenets Autonomous Okrug,2018,34,2014125
Yamalo-Nenets Autonomous Okrug,2019,54,2288097
Yamalo-Nenets Autonomous Okrug,2020,36,2935095
Yamalo-Nenets Autonomous Okrug,2021,48,3426906
Yamalo-Nenets Autonomous Okrug,2022,43,3489118
Yamalo-Nenets Autonomous Okrug,2023,35,3379512
Yamalo-Nenets Autonomous Okrug,2024,30,3067020
Yaroslavl Oblast,2017,10,483608
Yaroslavl Oblast,2018,72,5488150
Yaroslavl Oblast,2019,112,5928283
Yaroslavl Oblast,2020,65,6949098
Yaroslavl Oblast,2021,96,7912496
Yaroslavl Oblast,2022,86,7951328
Yaroslavl Oblast,2023,38,7060462
Yaroslavl Oblast,2024,42,6107578
Zabaykalsky Krai,2017,8,242493
Zabaykalsky Krai,2018,51,2781352
Zabaykalsky Krai,2019,23,3310375
Zabaykalsky Krai,2020,41,4738617
Zabaykalsky Krai,2021,25,4866135
Zabaykalsky Krai,2022,46,5023780
Zabaykalsky Krai,2023,48,4586257
Zabaykalsky Krai,2024,8,3874207
