Year,Region,Fitted Values,Lower Bound,Upper Bound
2019,Ryazan Oblast,-197.51612744516683,-2328.016393612525,1932.9841387221916
2020,Ryazan Oblast,-81.83587466874212,-2212.3361408361006,2048.664391498616
2021,Ryazan Oblast,234.8690304627064,-1895.6312357046522,2365.369296630065
2022,Ryazan Oblast,296.16812373657785,-1834.3321424307806,2426.6683899039363
2023,Ryazan Oblast,286.06868412437046,-1844.4315820429879,2416.568950291729
2024,Ryazan Oblast,838.7915422278517,-1291.7087239395069,2969.29180839521
2019,Saint Petersburg,2394.7926146547125,264.29234848735393,4525.292880822071
2020,Saint Petersburg,2244.7716881508386,114.2714219834802,4375.2719543181975
2021,Saint Petersburg,2041.879637918994,-88.6206282483646,4172.379904086352
2022,Saint Petersburg,2771.9157267581904,641.415460590832,4902.415992925549
2023,Saint Petersburg,957.0541384753492,-1173.4461276920094,3087.5544046427076
2024,Saint Petersburg,1246.7330917592908,-883.7671744080676,3377.233357926649
2019,Sakha (Yakutia) Republic,1889.9706685513545,-240.5295976160039,4020.470934718713
